Date,Product,Quantity,UnitPrice,PaymentMethod,OrderStatus,ItemsInCart,CouponCode,ReferralSource,TotalPrice,CouponSave10,CouponWinter15,CouponFreeship,RevenueGenrated
01-01-2023,Monitor,1,410.6,Online,Cancelled,2,WINTER15,Referral,410.6,0.0,61.59,0.0,0.0
01-01-2023,Monitor,1,318.81,Debit Card,Pending,3,WINTER15,Email,318.81,0.0,47.82149999999999,0.0,0.0
01-01-2023,Chair,2,645.85,Online,Shipped,5,WINTER15,Referral,1291.7,0.0,193.755,0.0,0.0
01-01-2024,Printer,2,40.23,Credit Card,Cancelled,4,SAVE10,Google,165.012,16.501199999999997,0.0,0.0,0.0
01-01-2024,Chair,3,236.5,Online,Delivered,8,FREESHIP,Email,709.5,0.0,0.0,709.5,0.0
01-01-2025,Printer,3,412.53,Online,Pending,6,WINTER15,Google,1237.59,0.0,185.6385,0.0,0.0
01-02-2024,Chair,5,64.5,Credit Card,Pending,8,WINTER15,Instagram,322.5,0.0,48.375,0.0,0.0
01-03-2024,Tablet,2,657.48,Online,Shipped,5,SAVE10,Referral,1314.96,131.496,0.0,0.0,0.0
01-03-2024,Monitor,1,158.68,Credit Card,Returned,6,WINTER15,Instagram,165.012,0.0,24.7518,0.0,0.0
01-03-2025,Desk,1,87.06,Credit Card,Shipped,4,FREESHIP,Email,165.012,0.0,0.0,165.012,0.0
01-03-2025,Chair,3,501.82,Gift Card,Cancelled,4,FREESHIP,Email,1505.46,0.0,0.0,1505.46,0.0
01-04-2023,Monitor,1,183.18,Debit Card,Cancelled,6,SAVE10,Email,183.18,18.318,0.0,0.0,0.0
01-04-2025,Phone,2,297.71,Online,Shipped,7,SAVE10,Referral,595.42,59.542,0.0,0.0,0.0
01-05-2023,Monitor,1,677.48,Online,Delivered,1,WINTER15,Facebook,677.48,0.0,101.62200000000001,0.0,575.858
01-05-2023,Monitor,3,271.02,Credit Card,Cancelled,6,SAVE10,Google,813.06,81.306,0.0,0.0,0.0
01-05-2023,Tablet,5,536.72,Cash,Delivered,10,SAVE10,Email,2332.082,233.2082,0.0,0.0,2098.8738
01-06-2023,Desk,2,330.69,Online,Cancelled,5,SAVE10,Google,661.38,66.138,0.0,0.0,0.0
01-06-2024,Phone,2,232.83,Gift Card,Delivered,7,SAVE10,Instagram,465.66,46.566,0.0,0.0,419.09400000000005
