OrderID,Date,CustomerID,Product,Quantity,UnitPrice,ShippingAddress,PaymentMethod,OrderStatus,TrackingNumber,ItemsInCart,CouponCode,ReferralSource,TotalPrice
200112,01-01-2023,81366,Monitor,1,410.6,423,Online,Cancelled,17062206,2,WINTER15,Referral,410.6
200236,01-01-2023,14847,Monitor,1,318.81,562,Debit Card,Pending,39663243,3,WINTER15,Email,318.81
200848,01-01-2023,54675,Chair,2,645.85,634,Online,Shipped,18049633,5,,Referral,1291.7
200373,02-01-2023,60178,Laptop,3,341.15,969,Cash,Pending,84505143,4,FREESHIP,Instagram,1023.45
200645,02-01-2023,82990,Laptop,2,150.05,727,Credit Card,Cancelled,68574801,4,SAVE10,Facebook,300.1
200881,03-01-2023,59579,Tablet,2,448.85,386,Credit Card,Pending,48000034,6,,Instagram,897.7
200000,04-01-2023,72649,Monitor,5,570.62,928,Debit Card,Shipped,37947903,7,SAVE10,Instagram,2853.1
200698,04-01-2023,44366,Laptop,2,388.22,169,Cash,Delivered,48658394,2,WINTER15,Instagram,776.44
200371,05-01-2023,59752,Phone,5,307.76,179,Gift Card,Pending,82229639,9,FREESHIP,Google,1538.8
200491,05-01-2023,98168,Phone,5,420.7,481,Cash,Pending,56423359,5,WINTER15,Facebook,2103.5
200472,06-01-2023,60029,Chair,3,508.12,796,Credit Card,Cancelled,86461316,8,FREESHIP,Referral,1524.36
200034,07-01-2023,67195,Chair,4,576.52,926,Credit Card,Pending,55467915,5,WINTER15,Facebook,2306.08
200555,07-01-2023,88933,Tablet,1,92.04,333,Cash,Shipped,89306964,2,,Facebook,92.04
200131,08-01-2023,72862,Tablet,1,84.8,606,Gift Card,Pending,51648833,5,,Instagram,84.8
201084,08-01-2023,45175,Phone,1,70.82,128,Gift Card,Pending,41792296,1,WINTER15,Instagram,70.82
201179,08-01-2023,84630,Laptop,5,518.55,907,Credit Card,Cancelled,48054997,6,WINTER15,Instagram,2592.75
200262,10-01-2023,69476,Phone,4,249.07,642,Credit Card,Returned,65869386,5,WINTER15,Referral,996.28
200418,11-01-2023,74169,Printer,1,310.93,862,Online,Cancelled,66144809,3,,Facebook,310.93
201003,11-01-2023,84700,Printer,5,319.97,582,Cash,Shipped,14706969,7,SAVE10,Google,1599.85
200957,12-01-2023,73575,Monitor,5,643.89,851,Cash,Returned,23387612,8,WINTER15,Facebook,3219.45
201008,13-01-2023,62557,Monitor,3,410.88,257,Cash,Delivered,12742366,8,FREESHIP,Instagram,1232.64
200093,14-01-2023,97262,Desk,4,431.01,837,Credit Card,Returned,65990229,7,,Referral,1724.04
200098,14-01-2023,70921,Printer,2,228.54,533,Debit Card,Pending,54983109,3,,Email,457.08
200750,14-01-2023,14737,Tablet,4,145.41,637,Credit Card,Returned,10295115,7,FREESHIP,Email,581.64
200058,15-01-2023,60190,Phone,4,474.69,202,Gift Card,Cancelled,70857868,6,SAVE10,Google,1898.76
200483,18-01-2023,66462,Phone,5,347.92,982,Cash,Pending,52743700,6,WINTER15,Google,1739.6
200383,20-01-2023,18944,Chair,4,393.8,837,Credit Card,Pending,45275439,7,SAVE10,Email,1575.2
200639,20-01-2023,22534,Chair,1,529.19,391,Cash,Cancelled,17415798,5,,Referral,529.19
201080,20-01-2023,70613,Laptop,5,464.74,438,Gift Card,Delivered,33140293,7,,Referral,2323.7
200057,22-01-2023,88036,Printer,5,314.27,842,Cash,Returned,52470128,6,SAVE10,Instagram,1571.35
200577,22-01-2023,77046,Tablet,4,185.41,967,Online,Returned,44401497,9,WINTER15,Google,741.64
200766,22-01-2023,91454,Printer,2,278.88,494,Debit Card,Pending,99985340,3,FREESHIP,Referral,557.76
200019,23-01-2023,14552,Monitor,5,224,273,Cash,Returned,59101365,9,SAVE10,Google,1120
200692,23-01-2023,25534,Desk,5,196.84,319,Credit Card,Delivered,68347402,5,WINTER15,Instagram,984.2
200955,23-01-2023,82068,Chair,1,408.13,164,Gift Card,Shipped,25779180,3,WINTER15,Instagram,408.13
200016,24-01-2023,28976,Printer,2,533.81,914,Credit Card,Pending,13194259,3,FREESHIP,Email,1067.62
200751,24-01-2023,35168,Tablet,2,599.86,455,Gift Card,Pending,76960854,7,FREESHIP,Facebook,1199.72
200295,25-01-2023,49009,Printer,5,107.48,278,Debit Card,Cancelled,46285799,9,FREESHIP,Email,537.4
200573,25-01-2023,13205,Chair,5,421.42,522,Debit Card,Cancelled,30686578,7,,Instagram,2107.1
200933,26-01-2023,59685,Monitor,2,394.16,255,Online,Shipped,43718093,2,,Referral,788.32
200556,28-01-2023,30923,Laptop,1,654.27,932,Gift Card,Pending,82609328,2,SAVE10,Facebook,654.27
200662,28-01-2023,98332,Laptop,3,438.89,985,Cash,Returned,85744797,3,,Facebook,1316.67
200977,28-01-2023,85841,Chair,4,649.47,608,Cash,Pending,99820544,8,SAVE10,Google,2597.88
200022,29-01-2023,34416,Monitor,2,49.62,633,Online,Pending,75937350,2,SAVE10,Google,99.24
201151,29-01-2023,94381,Chair,2,608.04,962,Cash,Cancelled,69804304,4,,Google,1216.08
200560,31-01-2023,33634,Monitor,4,588.85,524,Gift Card,Pending,93168008,7,,Email,2355.4
200561,31-01-2023,96822,Printer,2,494.78,198,Online,Shipped,89180077,2,,Google,989.56
200679,02-02-2023,40798,Tablet,3,360.66,304,Online,Returned,66106697,5,FREESHIP,Instagram,1081.98
200836,02-02-2023,31810,Phone,1,178.44,328,Credit Card,Cancelled,58725886,2,FREESHIP,Google,178.44
200486,03-02-2023,88981,Printer,4,611.26,558,Cash,Shipped,75267873,5,SAVE10,Referral,2445.04
200274,04-02-2023,50967,Phone,2,182.4,884,Gift Card,Cancelled,65300814,5,SAVE10,Referral,364.8
